Date,Price per Gallon,Gallons,Miles,Service
8/20/2008,3.599,9.089,"7,853"
9/2/2008,3.529,10.116,"8,196"
9/10/2008,3.469,9.873,"8,519"
10/7/2008,3.199,10.326,"9,528"
10/15/2008
10/23/2008,2.669,9.297,"10,157"
11/3/2008,2.349,10.236,"10,482"
11/13/2008,2.099,9.633,"10,789"
11/24/2008,1.879,8,"11,060"
12/11/2008,1.659,9.633,"11,386"
12/18/2008,1.58,9.355,"11,658"
1/8/2009,1.65,10.425,"11,965"
2/20/2009,1.938,9.414,"13,094"
2/25/2009,1.859,10.276,"13,418"
3/9/2009,1.9044,10.0032,"13,718"
3/19/2009,1.879,9.778,"14,020"
3/27/2009,1.899,10.38,"14,344"
4/7/2009,1.919,9.508,"14,646"
4/17/2009,1.95,9.578,"14,956"
4/28/2009,1.959,9.875,"15,286"
5/14/2009,2.129,9.506,"15,911"
5/22/2009,2.399,10.472,"16,249"
6/2/2009,2.399,9.21,"16,544"
6/10/2009,2.459,10.065,"16,887","oil change, tire rotation"
6/19/2009,2.69,9.123,"17,190"
6/29/2009,2.699,9.78,"17,500","just a guess, don't have real mileage"
7/6/2009,2.59,10.197,"17,832"
7/13/2009,2.399,9.443,"18,144"
7/22/2009,2.379,9.502,"18,468"
7/29/2009,2.379,10.309,"18,789"
8/8/2009,2.65,10.312,"19,126"
8/16/2009,,10,"19,450"
8/21/2009,2.559,10.64,"19,787"
8/31/2009,2.559,9.612,"20,106"
9/15/2009,2.499,10.678,"20,455","oil change, tire rotation"
9/25/2009,2.51,10.124,"20,775","just a guess, don't have real mileage"
10/2/2009,2.359,9.183,"21,075"
10/13/2009,2.339,9.775,"21,369"
10/21/2009,2.43,10.387,"21,607"
11/1/2009,,10,"21,975","just a guess, lost the receipt"
11/14/2009,2.59,10.3,"22,336"
11/29/2009,2.619,9.574,"22,933"
12/4/2009,2.559,10.447,"23,273"
12/14/2009,2.499,10.761,"23,590"
1/4/2009,2.559,10.014,"23,877"
1/12/2009,2.75,9.279,"24,164"
1/21/2009,2.67,??,"24,458"
2/1/2010,2.61,9.783,"24,755"
2/9/2010,2.759,10.512,"25,075","just a guess, don't have real mileage"
2/19/2010,2.539,9.233,"25,365"
3/1/2010,2.68,10.249,"25,686"
3/10/2010,2.639,10.385,"26,014"
